TYPE  | YEAR | TITLE                                                          | FRANCHISE     | BY                     | TAG                      | LINK
film  | 1990 | Predator 2                                                     | --            | --                     | --                       | --
film  | 1990 | RoboCop 2                                                      | --            | --                     | --                       | --
film  | 1990 | The Godfather Part III                                         | --            | --                     | --                       | --
film  | 1990 | The Hunt for Red October                                       | --            | --                     | --                       | --
film  | 1991 | Boyz n the Hood                                                | --            | --                     | --                       | --
film  | 1991 | Hook                                                           | --            | --                     | --                       | --
film  | 1991 | Once Upon a Time in China                                      | --            | --                     | --                       | --
film  | 1991 | Oscar                                                          | --            | --                     | comedy                   | --
film  | 1991 | Robin Hood: Prince of Thieves                                  | --            | --                     | --                       | --
film  | 1991 | Terminator 2: Judgment Day                                     | --            | --                     | --                       | --
film  | 1991 | The Fisher King                                                | --            | Terry Gillam           | --                       | --
film  | 1992 | Alien³                                                         | --            | --                     | --                       | --
film  | 1992 | Army of Darkness                                               | --            | --                     | --                       | --
film  | 1992 | Batman Returns                                                 | --            | --                     | --                       | --
film  | 1992 | Bram Stoker's Dracula                                          | --            | --                     | --                       | --
film  | 1992 | Cool World                                                     | --            | --                     | --                       | --
film  | 1992 | Fortress                                                       | --            | --                     | --                       | --
film  | 1992 | Hero                                                           | --            | --                     | --                       | --
film  | 1992 | Juice                                                          | --            | --                     | --                       | --
film  | 1992 | Once Upon a Time in China II                                   | --            | --                     | --                       | --
film  | 1992 | Reservoir Dogs                                                 | --            | --                     | --                       | --
film  | 1992 | Split Second                                                   | --            | --                     | --                       | --
film  | 1992 | Tetsuo II: Body Hammer                                         | --            | --                     | --                       | --
film  | 1992 | The Last of the Mohicans                                       | --            | --                     | --                       | --
film  | 1992 | The Lawnmower Man                                              | --            | --                     | --                       | --
film  | 1992 | The Lost World                                                 | --            | --                     | --                       | --
film  | 1992 | The Muppet Christmas Carol                                     | --            | --                     | --                       | --
film  | 1992 | Twin Peaks: Fire Walk with Me                                  | --            | --                     | --                       | --
film  | 1992 | Unforgiven                                                     | --            | --                     | --                       | --
film  | 1992 | Universal Soldier                                              | --            | --                     | --                       | --
film  | 1993 | Body Bags                                                      | --            | John Carpenter         | --                       | --
film  | 1993 | Hard Target                                                    | --            | --                     | --                       | --
film  | 1993 | Hocus Pocus                                                    | --            | --                     | --                       | --
film  | 1993 | Jason Goes to Hell: The Final Friday                           | --            | --                     | --                       | --
film  | 1993 | Jurassic Park                                                  | --            | --                     | --                       | --
film  | 1993 | Last Action Hero                                               | --            | --                     | --                       | --
film  | 1993 | Mrs. Doubtfire                                                 | --            | --                     | --                       | --
film  | 1993 | Super Mario Bros.                                              | --            | --                     | --                       | --
film  | 1993 | The Nightmare Before Christmas                                 | --            | --                     | --                       | --
film  | 1993 | The Sandlot                                                    | --            | --                     | --                       | --
film  | 1993 | The Wrong Trousers                                             | --            | --                     | --                       | --
film  | 1994 | D2: The Mighty Ducks                                           | --            | --                     | --                       | --
film  | 1994 | Fist of Legend                                                 | --            | --                     | --                       | --
film  | 1994 | Godzilla vs. SpaceGodzilla                                     | --            | --                     | --                       | --
film  | 1994 | Léon: The Professional                                         | --            | --                     | --                       | --
film  | 1994 | Miracle on 34th Street                                         | --            | --                     | --                       | --
film  | 1994 | Pulp Fiction                                                   | --            | --                     | --                       | --
film  | 1994 | Street Fighter                                                 | --            | --                     | --                       | --
film  | 1994 | The Crow                                                       | --            | --                     | --                       | --
film  | 1994 | The Hudsucker Proxy                                            | --            | --                     | --                       | --
film  | 1994 | The Mask                                                       | --            | --                     | --                       | --
film  | 1994 | The Next Karate Kid                                            | --            | --                     | --                       | --
film  | 1994 | The Shawshank Redemption                                       | --            | --                     | --                       | --
film  | 1994 | True Lies                                                      | --            | --                     | --                       | --
film  | 1995 | A Kid in King Arthur's Court                                   | --            | --                     | --                       | --
film  | 1995 | Babe                                                           | --            | --                     | --                       | --
film  | 1995 | Braveheart                                                     | --            | --                     | --                       | --
film  | 1995 | Casino                                                         | --            | --                     | --                       | --
film  | 1995 | Four Rooms                                                     | --            | --                     | --                       | --
film  | 1995 | Friday                                                         | --            | --                     | --                       | --
film  | 1995 | GoldenEye                                                      | --            | --                     | --                       | --
film  | 1995 | Hackers                                                        | --            | --                     | --                       | --
film  | 1995 | Johnny Mnemonic                                                | --            | --                     | --                       | --
film  | 1995 | Judge Dredd                                                    | --            | --                     | --                       | --
