DATE       | DESCRIPTION
2025-10-15 | Agents tackle US citizen after East Side operations leads to crash, spills into Walgreens - ABC7 Chicago
2025-10-15 | Federal Agent Activity in Bronx (Soundview), NYC
2025-10-15 | ICE in Oregon: Pointing rifles at family, stopping teens at gunpoint, pinning man during arrest - The Oregonian
2025-10-15 | ICE raid at Hamden car wash created 'chaos in our town', official says - New Haven Register
2025-10-16 | Activist says video shows ICE rammed his truck. ICE says the opposite - Los Angeles Times
2025-10-16 | Comedian Vows to Sue Over His ICE Arrest While Dressed as a Giraffe - Daily Beast
2025-10-16 | Federal Agent Activity in Manhattan (Midtown), NYC
2025-10-17 | Federal Agent Activity in Bronx (South Bronx), NYC
2025-10-18 | Federal Agent Activity in Bronx (South Bronx), NYC
2025-10-18 | Federal Agent Activity in Queens (Corona), NYC
2025-10-18 | Portland Police Chief Reveals Troops Tear-Gassed Protest by Accident - The New Republic
2025-10-19 | 105 arrested in Wilder ICE raid, questions remain about tactics used - Boise State Public Radio
2025-10-20 | Asylum-seekers now held for days in a downtown San Diego basement - Times of San Diego
2025-10-20 | Federal Agent Activity in Bronx (Tremont), NYC
2025-10-20 | Federal Agent Activity in Queens (Corona), NYC
2025-10-20 | Her baby was in the NICU. She was in ICE detention. - The 19th
2025-10-20 | ICE Agent Points Gun at Pregnant Woman During Arrest - Newsweek
2025-10-20 | Oak Park attorney detained by ICE outside elementary school - Wednesday Journal
2025-10-20 | Residents report health impacts as tear gas use continues near Portland ICE facility - KATU
2025-10-21 | 4 US citizens arrested during ICE crackdown on NYC's Canal Street, congressman says - ABC News
2025-10-21 | Federal Agent Activity in Manhattan (Chinatown), NYC
2025-10-21 | Illinois state representative describes ICE encounter with gun - CNN
2025-10-21 | Immigration agents arrest CPS vendor outside North Side school - Chicago Sun-Times
2025-10-21 | Shooting of suspect and deputy U.S. marshal highlights ICE aggression - Los Angeles Times
2025-10-22 | New York NY Canal Street Vendor Raids
2025-10-22 | Tensions rise as driver attempts to hit federal agents in Chicago, at least 7 detained - WGN9
2025-10-23 | 16-year-old boy detained by ICE in NYC after scheduled immigration appointment - CBS New York
2025-10-23 | A Woman Self-Deported, Hoping to Shield Her Son. He Was Detained Anyway.
2025-10-23 | Federal agents detain high school student in Little Village, deploy tear gas in faceoff with protesters - Chicago Sun-Times
2025-10-23 | Siblings shaken after feds raid Gary home, arrest family | 'They punched me in the eye' - WBEZ Chicago
2025-10-23 | U.S.-born Houston teen says ICE agents beat him and his father during stop - MSN
2025-10-24 | 2 SUNY Upstate Hospital workers are detained by ICE at immigration hearing, unions say - syracuse.com
2025-10-24 | Fifth grade teacher detained by ICE along with family, says school - CBS Colorado
2025-10-24 | Immigration enforcement on North Side leads to tense confrontations, soft lockdowns at schools - ABC7 Chicago
2025-10-25 | Chicago IL Old Irving Park Halloween Parade Disruption by Federal Agents
2025-10-25 | Episcopal Diocese calls for justice for Texas priest detained by ICE - San Antonio Current
2025-10-25 | ICE in Chicago: Tear gas deployed in Irving Park and Avondale - Chicago Tribune
2025-10-25 | US citizen, 67, suffers broken ribs after Border Patrol agents drag him out of car in shocking video: report - NY Post
2025-10-25 | US citizens detained by feds speak out after protesters confront agents at Aurora school, hospital - ABC 7 Chicago
2025-10-26 | Feds break car window to detain woman at Addison grocery store – NBC Chicago
2025-10-26 | ICE and Border Patrol's use of tear gas injures, sickens and tests the law - The Washington Post
2025-10-27 | Harrisonburg mother 'aggressively detained' in front of teenage daughter by federal agents - WHSV
2025-10-27 | Hundreds protest outside ICE building in Durango after 2 children, father detained - The Colorado Sun
2025-10-28 | Hundreds protest outside ICE building in Durango after 2 children, father detained - The Colorado Sun
2025-10-28 | Masked Officer Throws Protester Down Hill Outside of Colorado ICE Facility - Denver Westword
2025-10-29 | 39-year-old man taken into ICE custody during green card inteview in LA - ABC 7
2025-10-29 | High school grad working to pay for college swept up in ICE raid. ‘He was scared,’ mom said. - nj.com
2025-10-29 | Shocking moment ICE 'fires' at US citizen begging: 'I’ve got kids in my car' - The Mirror U.S.
2025-10-30 | California Man Shot by ICE Was Not Trying to Run Over Agent, Lawyers Say - The New York Times
2025-10-30 | ICE arrests two men near courthouses in Bellingham, apparently violating state law - Cascadia Daily News
2025-10-31 | Evanston IL Assault by Federal Agents
2025-10-31 | Federal agents arrest 3 US citizens after crash during immigration operation in Evanston - ABC News Chicago
2025-10-31 | On Halloween, 'state-sponsored terror' in Chicago and the North Suburbs - The Chicago Tribune
2025-10-31 | Rogers Park IL Threats With Pepper Spray by Federal Agent
2025-10-XX | DUI arrest of ICE officer with children present
2025-11-01 | Beaverton OR unlawful detention of U.S. citizen by masked agents
2025-11-01 | Woman deported from Maryland shown on video dragged in Ghana – NBC4 Washington
2025-11-02 | Suburban man hospitalized after allegedly being struck during ICE arrest - Chicago Sun-Times
2025-11-03 | ICE arrests multiple people in Redmond - King5 NBC News
2025-11-03 | ICE arrests two men near courthouses in Bellingham, apparently violating state law - Cascadia Daily News
