DATE       | LINK_SLUG   |                                            | TOPIC               | DESCRIPTION
---------- | 5XleEtjl5DA | http://youtube.com/watch?v=5XleEtjl5DA | --                  | ACOG vs LPVO (Primary Arms ACOG with ACSS Aurora)
---------- | HihVSSpO0YI | http://youtube.com/watch?v=HihVSSpO0YI | --                  | Crye JPC 2.0 vs Crye Airlite SPC
---------- | FqHxqUwLtc4 | http://youtube.com/watch?v=FqHxqUwLtc4 | --                  | DSA OSW (Operational Specialist Weapon)
---------- | r_XGEgRZsAI | http://youtube.com/watch?v=r_XGEgRZsAI | --                  | The MA37 Assault Rifle (Standard UNSC Rifle)
---------- | s4CAapDuzQQ | http://youtube.com/watch?v=s4CAapDuzQQ | --                  | Professional/Duty Plate Carrier Setup (2020 edition)
---------- | PzuxjwaJ0pM | http://youtube.com/watch?v=PzuxjwaJ0pM | --                  | Sig MPX (9mm, MP5 killer)
---------- | jOMwOvKJO-I | http://youtube.com/watch?v=jOMwOvKJO-I | --                  | PSA AKV 9mm (cheap 9mm AK!)
---------- | VG88dl6SQPg | http://youtube.com/watch?v=VG88dl6SQPg | --                  | Heckler and Koch SP5 (Civilian MP5)
---------- | 7TLLXOpknd8 | http://youtube.com/watch?v=7TLLXOpknd8 | --                  | B.E. Meyers MAWL, the best IR device for NVG's
---------- | 3y6Gx1BxCiE | http://youtube.com/watch?v=3y6Gx1BxCiE | --                  | Homebuilt MP5SD w/ Foster Huntington
---------- | ibyCDgITtxg | http://youtube.com/watch?v=ibyCDgITtxg | --                  | Firing a minigun from a Helicopter
---------- | aDWpwCiShqY | http://youtube.com/watch?v=aDWpwCiShqY | --                  | Jim Fuller talks about his favorite AK setups
---------- | ovtnjhOKhG0 | http://youtube.com/watch?v=ovtnjhOKhG0 | --                  | AK-12, Russia's new Service Rifle
---------- | lKQH3bT3-oQ | http://youtube.com/watch?v=lKQH3bT3-oQ | shooting            | GT, a Marine, and a Full Time SWAT Officer talk Left handed shooting
---------- | Q8-Ke_KSPWw | http://youtube.com/watch?v=Q8-Ke_KSPWw | --                  | Swedish K/Carl Gustaf M/45
---------- | IBWj6h5Rb_k | http://youtube.com/watch?v=IBWj6h5Rb_k | --                  | SIG MCX Virtus / M13
