-------------------------------------------------------------------------------------------------------------------------------
TYPE  | YEAR | TITLE                                   | LINK
game  | 2014 | Spintires                               | https://en.wikipedia.org/wiki/Spintires
game  | 2015 | Soma                                    | https://en.wikipedia.org/wiki/Soma_(video_game)
game  | 2015 | Sylvio                                  | https://en.wikipedia.org/wiki/Sylvio_(video_game)
game  | 2016 | Doom (2016)                             | https://en.wikipedia.org/wiki/Doom_(2016_video_game)
game  | 2017 | MudRunner                               | https://en.wikipedia.org/wiki/MudRunner
game  | 2018 | Dusk                                    | https://en.wikipedia.org/wiki/Dusk_(video_game)
game  | 2018 | Subnautica                              | https://en.wikipedia.org/wiki/Subnautica
game  | 2019 | Outer Wilds                             | https://en.wikipedia.org/wiki/Outer_Wilds
game  | 2019 | Rage 2                                  | https://en.wikipedia.org/wiki/Rage_2
game  | 2019 | Samurai Shodown (2019)                  | https://en.wikipedia.org/wiki/Samurai_Shodown_(2019_video_game)
game  | 2020 | Amnesia: Rebirth                        | https://en.wikipedia.org/wiki/Amnesia:_Rebirth
game  | 2020 | Black Mesa                              | https://en.wikipedia.org/wiki/Black_Mesa_(video_game)
game  | 2020 | Doom Eternal                            | https://en.wikipedia.org/wiki/Doom_Eternal
game  | 2020 | G String                                | https://en.wikipedia.org/wiki/G_String_(video_game)
game  | 2020 | Hardspace: Shipbreaker                  | https://en.wikipedia.org/wiki/Hardspace:_Shipbreaker
game  | 2020 | Iron Harvest                            | https://en.wikipedia.org/wiki/Iron_Harvest
game  | 2020 | Ultrakill                               | https://en.wikipedia.org/wiki/Ultrakill
game  | 2021 | Subnautica: Below Zero                  | https://en.wikipedia.org/wiki/Subnautica:_Below_Zero
game  | 2022 | Amid Evil                               | https://en.wikipedia.org/wiki/Amid_Evil
game  | 2022 | Arma Reforger                           | https://en.wikipedia.org/wiki/Arma_Reforger
game  | 2022 | Entropy: Zero  2                        | https://en.wikipedia.org/wiki/Entropy:_Zero_2
game  | 2022 | Gloomwood                               | https://en.wikipedia.org/wiki/Gloomwood
game  | 2022 | Iron Lung                               | https://en.wikipedia.org/wiki/Iron_Lung_(video_game)
game  | 2022 | Norco                                   | https://en.wikipedia.org/wiki/Norco_(video_game)
game  | 2022 | Quake Champions                         | https://en.wikipedia.org/wiki/Quake_Champions
game  | 2022 | Signalis                                | https://en.wikipedia.org/wiki/Signalis
game  | 2023 | Amnesia: The Bunker                     | https://en.wikipedia.org/wiki/Amnesia:_The_Bunker
game  | 2023 | Hrot                                    | https://en.wikipedia.org/wiki/Hrot
game  | 2023 | Lethal Company                          | https://en.wikipedia.org/wiki/Lethal_Company
game  | 2023 | Mars First Logistics                    | https://en.wikipedia.org/wiki/Mars_First_Logistics
game  | 2023 | Mosa Lina                               | https://en.wikipedia.org/wiki/Mosa_Lina
game  | 2023 | Trepang²                                | https://en.wikipedia.org/wiki/Trepang2
game  | 2024 | Animal Well                             | https://en.wikipedia.org/wiki/Animal_Well
game  | 2024 | Mouthwashing                            | https://en.wikipedia.org/wiki/Mouthwashing_(video_game)
game  | 2024 | R.E.P.O.                                | https://en.wikipedia.org/wiki/R.E.P.O.
game  | 2025 | Deathground                             | https://en.wikipedia.org/wiki/Deathground_(upcoming_video_game)
game  | 2025 | Doom: The Dark Ages                     | https://en.wikipedia.org/wiki/Doom:_The_Dark_Ages
game  | 2025 | Peak                                    | https://en.wikipedia.org/wiki/Peak_(video_game)
game  | 2025 | Psycho Patrol R                         | https://en.wikipedia.org/wiki/Psycho_Patrol_R
game  | 2026 | Marathon (2026)                         | https://en.wikipedia.org/wiki/Marathon_(2026_video_game)
game  | 2026 | Pragmata                                | https://en.wikipedia.org/wiki/Pragmata
game  | 2026 | Subnautica 2                            | https://en.wikipedia.org/wiki/Subnautica_2
table | 1475 | Chess                                   | https://en.wikipedia.org/wiki/Chess
table | 1995 | Necromunda                              | https://en.wikipedia.org/wiki/Necromunda
table | 1999 | Mordheim                                | https://en.wikipedia.org/wiki/Mordheim
tv    | 2007 | Primeval (TV)                           | https://en.wikipedia.org/wiki/Primeval_(TV_series)
tv    | 2015 | Mr. Robot                               | https://en.wikipedia.org/wiki/Mr._Robot
tv    | 2017 | The Orville                             | https://en.wikipedia.org/wiki/The_Orville
tv    | 2020 | Raised by Wolves                        | https://en.wikipedia.org/wiki/Raised_by_Wolves_(American_TV_series)
tv    | 2021 | Foundation (TV)                         | https://en.wikipedia.org/wiki/Foundation_(TV_series)
tv    | 2021 | Wheel of Time                           | https://en.wikipedia.org/wiki/The_Wheel_of_Time_(TV_series)
tv    | 2022 | Surface                                 | https://en.wikipedia.org/wiki/Surface_(2022_TV_series)
tv    | 2024 | Fallout (TV)                            | https://en.wikipedia.org/wiki/Fallout_(American_TV_series)
tv    | 2024 | Time Bandits                            | https://en.wikipedia.org/wiki/Time_Bandits_(TV_series)
-------------------------------------------------------------------------------------------------------------------------------
TYPE  | YEAR | KEY                 | LINK
------|------|---------------------|-------------------------------------------------------------------------------------------
game  | 2023 | dredge              | http://en.wikipedia.org/wiki/Dredge_(video_game)
game  | 2023 | hyenas              | http://en.wikipedia.org/wiki/Hyenas_(video_game)
game  | 2014 | naissancee          | http://en.wikipedia.org/wiki/NaissanceE
game  | 2021 | cruelty_squad       | http://en.wikipedia.org/wiki/Cruelty_Squad
game  | 2021 | returnal            | http://en.wikipedia.org/wiki/Returnal
game  | 2020 | deep_rock_galactic  | http://en.wikipedia.org/wiki/Deep_Rock_Galactic
game  | 2020 | kentucky_route_zero | http://en.wikipedia.org/wiki/Kentucky_Route_Zero
game  | 2019 | outer_wilds         | http://en.wikipedia.org/wiki/Outer_Wilds
game  | 2019 | manifold_garden     | http://en.wikipedia.org/wiki/Manifold_Garden
game  | 2017 | echo                | http://en.wikipedia.org/wiki/Echo_(2017_video_game)
game  | 2017 | everything          | http://en.wikipedia.org/wiki/Everything_(video_game)
game  | 2017 | rain_world          | http://en.wikipedia.org/wiki/Rain_World
game  | 2017 | scanner_sombre      | http://en.wikipedia.org/wiki/Scanner_Sombre
game  | 2016 | the_witness         | http://en.wikipedia.org/wiki/The_Witness_(2016_video_game)
game  | 2014 | ether_one           | http://en.wikipedia.org/wiki/Ether_One
game  | 2013 | kairo               | http://en.wikipedia.org/wiki/Kairo_(video_game)
game  | 2013 | starseed_pilgrim    | http://en.wikipedia.org/wiki/Starseed_Pilgrim
game  | 2012 | dear_esther         | http://en.wikipedia.org/wiki/Dear_Esther
game  | 2005 | silent_hunter_3     | http://en.wikipedia.org/wiki/Silent_Hunter_III
game  | 1988 | netrek              | http://en.wikipedia.org/wiki/Netrek
