 _ | film  | 1979 | The Warriors                                                   | --
 x | film  | 1977 | House                                                          | ♥ ★★★★★ mario 64
 x | film  | 1977 | Jabberwocky                                                    | --
 x | film  | 1977 | Pete's Dragon                                                  | --
 x | film  | 1977 | Star Wars                                                      | --
 x | film  | 1977 | Stroszek                                                       | ♥
 x | film  | 1977 | The Hills Have Eyes                                            | --
 x | film  | 1977 | The Last Wave                                                  | ♥ ★★★★★ Watch out for weather.
 x | film  | 1978 | Dawn of the Dead                                               | --
 x | film  | 1978 | Starcrash                                                      | ♥ ★★ if you watch this at 1.5x speed it becomes a ★★★ movie
 x | film  | 1979 | Mad Max                                                        | ♥
 x | film  | 1979 | The Castle of Cagliostro                                       | ♥
 x | film  | 1980 | Caddyshack                                                     | --
 x | film  | 1980 | The Big Brawl                                                  | ♥ ★★★ really good jingle, authentic chicago sports, press x to shush guard dog
 x | film  | 1980 | The Elephant Man                                               | --
 x | film  | 1980 | The Empire Strikes Back                                        | --
 x | film  | 1980 | The Gods Must Be Crazy                                         | ♥
 x | film  | 1980 | The Shining                                                    | --
 x | film  | 1981 | Mad Max 2                                                      | --
 x | film  | 1981 | Quest for Fire                                                 | --
 x | film  | 1981 | Raiders of the Lost Ark                                        | --
 x | film  | 1981 | Scanners                                                       | --
 x | film  | 1981 | The Evil Dead                                                  | --
 x | film  | 1982 | Blade Runner                                                   | --
 x | film  | 1982 | E.T. the Extra-Terrestrial                                     | --
 x | film  | 1982 | First Blood                                                    | --
 x | film  | 1982 | The Dark Crystal                                               | --
 x | film  | 1982 | The Thing                                                      | --
 x | film  | 1982 | White Dog                                                      | --
 x | film  | 1983 | A Christmas Story                                              | --
 x | film  | 1983 | Krull                                                          | ♥
 x | film  | 1983 | Return of the Jedi                                             | --
 x | film  | 1983 | Scarface                                                       | --
 x | film  | 1984 | Amadeus                                                        | --
 x | film  | 1984 | Ghostbusters                                                   | --
 x | film  | 1984 | Indiana Jones and the Temple of Doom                           | --
 x | film  | 1984 | Repo Man                                                       | --
 x | film  | 1984 | The Karate Kid                                                 | --
 x | film  | 1984 | The NeverEnding Story                                          | ♥
 x | film  | 1984 | The Terminator                                                 | ♥
 x | film  | 1984 | The Toxic Avenger                                              | --
 x | film  | 1984 | Trancers                                                       | --
 x | film  | 1985 | Back to the Future                                             | --
 x | film  | 1985 | Clue                                                           | ♥
 x | film  | 1985 | Day of the Dead                                                | --
 x | film  | 1985 | Enemy Mine                                                     | --
 x | film  | 1985 | Mad Love                                                       | --
 x | film  | 1985 | Pale Rider                                                     | --
 x | film  | 1985 | Star Knight                                                    | ★ erratic
 x | film  | 1985 | The Breakfast Club                                             | --
 x | film  | 1986 | Big Trouble in Little China                                    | --
 x | film  | 1986 | Ferris Bueller's Day Off                                       | --
 x | film  | 1986 | Highlander                                                     | ★★ not a fan of films that earnestly want me to know what haggis is
 x | film  | 1986 | Labyrinth                                                      | --
 x | film  | 1986 | Short Circuit                                                  | ♥
 x | film  | 1986 | The Fly                                                        | ♥
 x | film  | 1986 | The Karate Kid Part II                                         | --
 x | film  | 1986 | Top Gun                                                        | --
 x | film  | 1987 | Evil Dead II                                                   | --
 x | film  | 1987 | Hellraiser                                                     | ♥ ★★★★ really scary pet shop
 x | film  | 1987 | Lethal Weapon                                                  | --
 x | film  | 1987 | Predator                                                       | --
 x | film  | 1987 | Prince of Darkness                                             | ♥ ★★★★★ this happened to a buddy of mine
 x | film  | 1987 | RoboCop                                                        | --
 x | film  | 1987 | Spaceballs                                                     | --
 x | film  | 1987 | The Lost Boys                                                  | ♥ ★★★ Really funny.
 x | film  | 1987 | The Princess Bride                                             | --
